GroupName,DisplayName,en,zh-Hans,zh-Hant,de,es,fr,hu,ja,ko,ru,pt-br,uk,it,th,tr,sv
HairHighlightLeft1Outline,Hair Highlight 1 >> Outline,Hair Highlight 1 >> Outline,挑染 1 >> 轮廓,挑染 1 >> 輪廓,Haar Highlight 1 >> Umriss,Mechas de cabello 1 >> Contorno,Contour Mèches Individuelle 1 >>,Hajkiemelés 1 >> Vázlat,髪ハイライト1 輪郭 >>,머리 브릿지 1 >> 외곽선,Торчащий волос 1 >> Контур,Mechas do Cabelo 1 >> Contorno,Мелірування волосся 1 >> Контур,Evidenziazione dei capelli 1 >> Contorno,เส้นร่างชิ้นส่วนผม 1 >>,Saç Detayı 1 >> Anahat,Hårhöjdpunkt 1 >> Kontur
HairHighlightLeft2,Hair Highlight 2 >>,Hair Highlight 2 >>,挑染 2 >> ,挑染 2 >> ,Haar Highlight 2 >>,Mechas de cabello 2 >>,Mèches Individuelle 2 >>,Hajkiemelés 2 >>,髪ハイライト2 >>,머리 브릿지 2 >>,Торчащий волос 2 >>,Mechas do Cabelo 2 >>,Мелірування волосся 2 >>,Capelli in evidenza 2 >>,ชิ้นส่วนผม 2 >>,Saç Detayı 2 >>,Hårhöjdpunkt 2 >>
HairHighlightLeft2Outline,Hair Highlight 2 >> Outline,Hair Highlight 2 >> Outline,挑染 2 >> 轮廓,挑染 2 >> 輪廓,Haar Highlight 2 >> Umriss,Mechas de cabello 2 >> Contorno,Contour Individuelle 2 >>,Hajkiemelés 2 >> Vázlat,髪ハイライト2 輪郭 >>,머리 브릿지 2 >> 외곽선,Торчащий волос 2 >> Контур,Mechas do Cabelo 2 >> Contorno,Мелірування волосся 2 >> Контур,Evidenziazione dei capelli 2 >> Contorno,เส้นร่างชิ้นส่วนผม 2 >>,Saç Detayı 2 >> Anahat,Hårhöjdpunkt 2 >> Kontur
HairHighlightLeft3,Hair Highlight 3 >>,Hair Highlight 3 >>,挑染 3 >> ,挑染 3 >> ,Haar Highlight 3 >>,Mechas de cabello 3 >>,Mèches Individuelle 3 >>,Hajkiemelés 3 >>,髪ハイライト3 >>,머리 브릿지 3 >>,Торчащий волос 3 >>,Mechas do Cabelo 3 >>,Мелірування волосся 3 >>,Capelli in evidenza 3 >>,ชิ้นส่วนผม 3 >>,Saç Detayı 3 >>,Hårhöjdpunkt 3 >>
HairHighlightLeft3Outline,Hair Highlight 3 >> Outline,Hair Highlight 3 >> Outline,挑染 3 >> 轮廓,挑染 3 >> 輪廓,Haar Highlight 3 >> Umriss,Mechas de cabello 3 >> Contorno,Contour Mèches Individuelle 3 >>,Hajkiemelés 3 >> Vázlat,髪ハイライト3 輪郭 >>,머리 브릿지 3 >> 외곽선,Торчащий волос 3 >> Контур,Mechas do Cabelo 3 >> Contorno,Мелірування волосся 3 >> Контур,Evidenziazione dei capelli 3 >> Contorno,เส้นร่างชิ้นส่วนผม 3 >>,Saç Detayı 3 >> Anahat,Hårhöjdpunkt 3 >> Kontur
HairHighlightMiddle1,Hair Highlight 1 ><,Hair Highlight 1 ><,挑染 1 >< ,挑染 1 >< ,Haar Highlight 1 ><,Mechas de cabello 1 ><,Mèches Individuelle 1 ><,Hajkiemelés 1 ><,髪ハイライト1 中央,머리 브릿지 1 ><,Торчащий волос 1 ><,Mechas do Cabelo 1 ><,Мелірування волосся 1 ><,Capelli evidenziati 1 ><,ชิ้นส่วนผม 1 ><,Saç Detayı 1 ><,Hårhöjdpunkt 1 ><
HairHighlightMiddle1Outline,Hair Highlight 1 >< Outline,Hair Highlight 1 >< Outline,挑染 1 >< 轮廓,挑染 1 >< 輪廓,Haar Highlight 1 >< Umriss,Mechas de cabello 1 >< Contorno,Contour Mèches Individuelle 1 ><,Hajkiemelés 1 >< Vázlat,髪ハイライト1 中央 輪郭,머리 브릿지 1 >< 외곽선,Торчащий волос 1 >< Контур,Mechas do Cabelo 1 >< Contorno,Мелірування волосся 1 >< Контур,Capelli evidenziati 1 >< Contorno,เส้นร่างชิ้นส่วนผม 1 ><,Saç Detayı 1 >< Anahat,Hair Highlight 1 >< Outline
HairHighlightMiddle2,Hair Highlight 2 ><,Hair Highlight 2 ><,挑染 2 >< ,挑染 2 >< ,Haar Highlight 2 ><,Mechas de cabello 2 ><,Mèches Individuelle 2 ><,Hajkiemelés 2 ><,髪ハイライト2 中央,머리 브릿지 2 ><,Торчащий волос 2 ><,Mechas do Cabelo 2 >< ,Мелірування волосся 2 ><,Capelli evidenziati 2 ><,ชิ้นส่วนผม 2 ><,Saç Detayı 2 ><,Hair Highlight 2 ><
HairHighlightMiddle2Outline,Hair Highlight 2 >< Outline,Hair Highlight 2 >< Outline,挑染 2 >< 轮廓,挑染 2 >< 輪廓,Haar Highlight 2 >< Umriss,Mechas de cabello 2 >< Contorno,Contour Mèches Individuelle 2 ><,Hajkiemelés 2 >< Vázlat,髪ハイライト2 中央 輪郭,머리 브릿지 2 >< 외곽선,Торчащий волос 2 >< Контур,Mechas do Cabelo 2 >< Contorno,Мелірування волосся 2 >< Контур,Capelli evidenziati 2 >< Contorno,เส้นร่างชิ้นส่วนผม 2 ><,Saç Detayı 2 >< Anahat,Hair Highlight 2 >< Outline
HairHighlightMiddle3,Hair Highlight 3 ><,Hair Highlight 3 ><,挑染 3 >< ,挑染 3 >< ,Haar Highlight 3 ><,Destacado del cabello 3 ><,Mèches Individuelle 3 ><,Hajkiemelés 3 ><,髪ハイライト3 中央,머리 브릿지 3 ><,Торчащий волос 3 ><,Mechas do Cabelo 3 >< ,Мелірування волосся 3 ><,Capelli evidenziati 3 ><,ชิ้นส่วนผม 3 ><,Saç Detayı 3 ><,Hair Highlight 3 ><
HairHighlightMiddle3Outline,Hair Highlight 3 >< Outline,Hair Highlight 3 >< Outline,挑染 3 >< 轮廓,挑染 3 >< 輪廓,Haar Highlight 3 >< Umriss,Mechas de cabello 3 >< Contorno,Contour Mèches Individuelle 3 ><,Hajkiemelés 3 >< Vázlat,髪ハイライト3 中央 輪郭,머리 브릿지 3 >< 외곽선,Торчащий волос 3 >< Контур,Mechas do Cabelo 3 >< Contorno,Мелірування волосся 3 >< Контур,Capelli evidenziati 3 >< Contorno,เส้นร่างชิ้นส่วนผม 3 ><,Saç Detayı 3 >< Anahat,Hair Highlight 3 >< Outline
HairHighlightMiddle4,Hair Highlight 4 ><,Hair Highlight 4 ><,挑染 4 >< ,挑染 4 >< ,Haar Highlight 4 ><,Mechas de cabello 4 ><,Mèches Individuelle 4 ><,Hajkiemelés 4 ><,髪ハイライト4 中央,머리 브릿지 4 ><,Торчащий волос 4 ><,Mechas do Cabelo 4 ><,Мелірування волосся 4 ><,Capelli evidenziati 4 ><,ชิ้นส่วนผม 4 ><,Saç Vurgulama 4 ><,Hair Highlight 4 ><
HairHighlightMiddle4Outline,Hair Highlight 4 >< Outline,Hair Highlight 4 >< Outline,挑染 4 >< 轮廓,挑染 4 >< 輪廓,Haar Highlight 4 >< Umriss,Mechas de cabello 4 >< Contorno,Contour Mèches Individuelle 4 ><,Hajkiemelés 4 >< Vázlat,髪ハイライト4 中央 輪郭,머리 브릿지 4 >< 외곽선,Торчащий волос 4 >< Контур,Mechas do Cabelo 4 >< Contorno,Мелірування волосся 4 >< контур,Capelli evidenziati 4 >< Contorno,เส้นร่างชิ้นส่วนผม 4 ><,Saç Vurgulama 4 >< Anahat,Hair Highlight 4 >< Outline
HairHighlightMiddle5,Hair Highlight 5 ><,Hair Highlight 5 ><,挑染 5 >< ,挑染 5 >< ,Haar Highlight 5 ><,Mechas de cabello 5 ><,Mèches Individuelle 5 ><,Hajkiemelés 5 ><,髪ハイライト5 中央,머리 브릿지 5 ><,Торчащий волос 5 ><,Mechas do Cabelo 5 >< ,Мелірування волосся 5 ><,Capelli evidenziati 5 ><,ชิ้นส่วนผม 5 ><,Saç Vurgulama 5 ><,Hårhöjdpunkt 5 ><
HairHighlightMiddle5Outline,Hair Highlight 5 >< Outline,Hair Highlight 5 >< Outline,挑染 5 >< 轮廓,挑染 5 >< 輪廓,Haar Highlight 5 >< Umriss,Mechas de cabello 5 >< Contorno,Contour Mèches Individuelle 5 ><,Hajkiemelés 5 >< Vázlat,髪ハイライト5 中央 輪郭,머리 브릿지 5 >< 외곽선,Торчащий волос 5 >< Контур,Mechas do Cabelo 5 >< Contorno,Мелірування волосся 5 >< контур,Capelli evidenziati 5 >< Contorno,เส้นร่างชิ้นส่วนผม 5 ><,Saç Vurgulama 5 >< Anahat,Hair Highlight 5 >< Outline
HairHighlightMiddle6,Hair Highlight 6 ><,Hair Highlight 6 ><,挑染 6 >< ,挑染 6 >< ,Haar Highlight 6 ><,Mechas de cabello 6 ><,Mèches Individuelle 6 ><,Hajkiemelés 6 ><,髪ハイライト6 中央,머리 브릿지 6 ><,Торчащий волос 6 ><,Mechas do Cabelo 6 >< ,Мелірування волосся 6 ><,Capelli evidenziati 6 ><,ชิ้นส่วนผม 6 ><,Saç Vurgulama 6 ><,Hair Highlight 6 ><
HairHighlightMiddle6Outline,Hair Highlight 6 >< Outline,Hair Highlight 6 >< Outline,挑染 6 >< 轮廓,挑染 6 >< 輪廓,Haar Highlight 6 >< Umriss,Mechas de cabello 6 >< Contorno,Contour Mèches Individuelle 6 ><,Hajkiemelés 6 >< Vázlat,髪ハイライト6 中央 輪郭,머리 브릿지 6 >< 외곽선,Торчащий волос 6 >< Контур,Mechas do Cabelo 5 >< Contorno,Мелірування волосся 6 >< Контур,Capelli evidenziati 6 >< Contorno,เส้นร่างชิ้นส่วนผม 6 ><,Saç Vurgulama 6 >< Anahat,Hair Highlight 6 >< Outline
HairHighlightRight1,Hair Highlight 1 <<,Hair Highlight 1 <<,挑染 1 << ,挑染 1 << ,Haar Highlight 1 <<,Mechas de cabello 1 <<,Mèches Individuelle 1 <<,Hajkiemelés 1 <<,髪ハイライト1 <<,머리 브릿지 1 <<,Торчащий волос 1 <<,Mechas do Cabelo 1 << ,Мелірування волосся 1 <<,Capelli in evidenza 1 <<,ชิ้นส่วนผม 1 <<,Saç Vurgulama 1 <<,Hårhöjdpunkt 1 <<
HairHighlightRight1Outline,Hair Highlight 1 << Outline,Hair Highlight 1 << Outline,挑染 1 << 轮廓,挑染 1 << 輪廓,Haar Highlight 1 << Umriss,Mechas de cabello 1 << Contorno,Contour Mèches Individuelle 1 <<,Hajkiemelés 1 << Vázlat,髪ハイライト1 輪郭 <<,머리 브릿지 1 << 외곽선,Торчащий волос 1 << Контур,Mechas do Cabelo 1 << Contorno,Мелірування волосся 1 << Контур,Capelli in evidenza 1 << Contorno,เส้นร่างชิ้นส่วนผม 1 <<,Saç Vurgulama 1 << Anahat,Hair Highlight 1 << Outline
HairHighlightRight2,Hair Highlight 2 <<,Hair Highlight 2 <<,挑染 2 << ,挑染 2 << ,Haar Highlight 2 <<,Mechas de cabello 2 <<,Mèches Individuelle 2 <<,Hajkiemelés 2 <<,髪ハイライト2 <<,머리 브릿지 2 <<,Торчащий волос 2 <<,Mechas do Cabelo 2 << ,Мелірування волосся 2 <<,Capelli in evidenza 2 <<,ชิ้นส่วนผม 2 <<,Saç Vurgulama 2 <<,Hair Highlight 2 <<
HairHighlightRight2Outline,Hair Highlight 2 << Outline,Hair Highlight 2 << Outline,挑染 2 << 轮廓,挑染 2 << 輪廓,Haar Highlight 2 << Umriss,Mechas de cabello 2 << Contorno,Contour Mèches Individuelle 2 <<,Hajkiemelés 2 << Vázlat,髪ハイライト2 輪郭 <<,머리 브릿지 2 << 외곽선,Торчащий волос 2 << Контур,Mechas do Cabelo 2 << Contorno,Мелірування волосся 2 << Контур,Capelli in evidenza 2 << Contorno,เส้นร่างชิ้นส่วนผม 2 <<,Saç Vurgulama 2 << Anahat,Hair Highlight 2 << Outline
HairHighlightRight3,Hair Highlight 3 <<,Hair Highlight 3 <<,挑染 3 << ,挑染 3 << ,Haar Highlight 3 <<,Mechas de cabello 3 <<,Mèches Individuelle 3 <<,Hajkiemelés 3 <<,髪ハイライト3 <<,머리 브릿지 3 <<,Торчащий волос 3 <<,Mechas do Cabelo 3 <<,Мелірування волосся 3 <<,Capelli in evidenza 3 <<,ชิ้นส่วนผม 3 <<,Saç Vurgulama 3 <<,Hair Highlight 3 <<
HairHighlightRight3Outline,Hair Highlight 3 << Outline,Hair Highlight 3 << Outline,挑染 3 << 轮廓,挑染 3 << 輪廓,Haar Highlight 3 << Umriss,Mechas de cabello 3 << Contorno,Contour Mèches Individuelle 3 <<,Hajkiemelés 3 << Vázlat,髪ハイライト3 輪郭 <<,머리 브릿지 3 << 외곽선,Торчащий волос 3 << Контур,Mechas do Cabelo 3 << Contorno,Мелірування волосся 3 << Контур,Capelli in evidenza 3 << Contorno,เส้นร่างชิ้นส่วนผม 3 <<,Saç Vurgulama 3 << Anahat,Hair Highlight 3 << Outline
Hairline,Hairline Outline,Hairline Outline,发际线 轮廓,髮際線 輪廓,Haarlinien Umriss,Contorno de la rayita,Contour Implantation Cheveux,Hajvonal vázlat,生え際 輪郭,헤어라인 외곽선,Линия роста волос Контур,Contorno da Frente do Cabelo ,Контур лінії волосся,Contorno dell'attaccatura dei capelli,เส้นร่างไรผม,Saç Çizgisi Anahat,Hårlinje kontur
HairShine,Hair Shine,Hair Shine,头发 高光,頭髮 高光,Haarglanz,Brillo del cabello,Lumière Cheveux,Hajfény,髪ツヤ,머리 하이라이트,Волосы Сияние,Cabelo Brilhante,Блиск волосся,Lucentezza dei capelli,ไฮไลต์ผม,Saç Parıltısı,Hårglans
HairShineOutline,Hair Shine Outline,Hair Shine Outline,头发 高光 轮廓,頭髮 高光 輪廓,Haarglanz Umriss,Contorno del brillo del cabello,Contour Lumière Cheveux,Hajfény vázlat,髪ツヤ 輪郭,머리 하이라이트 외곽선,Волосы Сияние Контур,Contorno do Cabelo Brilhante,Контур блиску волосся,Contorno di lucentezza dei capelli,เส้นร่างไฮไลต์ผม,Saç Parıltısı Anahat,Hår glans kontur
Halo,Halo,Halo,光环,光環,Heiligenschein,Halo,Halo,Halo,天使の輪,헤일로,Нимб,Auréola,Ореол,Alone,Halo,Hale,Halo
HaloOutline,Halo Outline,Halo Outline,光环 轮廓,光環 輪廓,Heiligenschein Umriss,Contorno del halo,Contour du Halo,Halo Outline,天使の輪 輪郭,헤일로 외곽선,Нимб Контур,Contorno da Auréola,Контур Halo,Contorno dell'alone,เส้นร่าง Halo,Hale Anahat,Halo Outline
Hat,Hat,Hat,帽子,帽子,Hut,Sombrero,Chapeau,Kalap,帽子,모자,Шляпа,Chapéu,Капелюх,Cappello,หมวก,Şapka,Hatt
HatOutline,Hat Outline,Hat Outline,帽子 轮廓,帽子 輪廓,Hut Umriss,Contorno del sombrero,Contour Chapeau,Kalap vázlat,帽子 輪郭,모자 외곽선,Шляпа Контур,Contorno do Chapéu,Контур капелюха,Profilo del cappello,เส้นร่าง,Şapka Anahat,Hattkontur
HatSecondary,Hat Secondary,Hat Secondary,帽子 次要,帽子 次要,Hut Sekundär,Sombrero Secundario,Chapeau Secondaire,Kalap másodlagos,帽子パーツ,보조 모자,Шляпа 2,Chapéu Secundário,Капелюх Вторинний,Cappello secondario,หมวกรอง,Şapka İkincil,Hatt Sekundär
HatOutlineSecondary,Hat Secondary Outline,Hat Secondary Outline,帽子 次要 轮廓,帽子 次要 輪廓,Hut Sekundär Umriss,Contorno del sombrero secundario,Contour Chapeau Secondaire,Kalap másodlagos vázlat,帽子パーツ 輪郭,보조 모자 외곽선,Шляпа 2 Контур,Contorno do Chapéu Secundário,Вторинний контур капелюха,Contorno secondario del cappello,เส้นร่างหมวกรอง,Şapka İkincil Anahat,Hat sekundär kontur
Hammer,Hammer,Hammer,锤子,錘子,Hammer,Martillo,Marteau,Kalapács,ハンマー,망치,Молоток,Martelo,Молоток,Martello,ค้อน,Çekiç,Hammare
HeadWingLeft,Ear Wing >>,Ear Wing >>,翅膀耳朵 >>,翅膀耳朵 >>,Ohrflügel >>,Ala de oreja >>,Aile d'Oreille >>,Fülszárny >>,耳羽 >>,날개 귀 >>,Крыло-ухо >>,Asa Orelha >>,Вухо Крило >>,Ala dell'orecchio >>,หูปีก >>,Kulak Kanadı >>,Öronvinge >>
HeadWingLeftOutline,Ear Wing >> Outline,Ear Wing >> Outline,翅膀耳朵 >> 轮廓,翅膀耳朵 >> 輪廓,Ohrflügel >> Umriss,Ala de oreja >> Contorno,Contour Aile d'Oreille >>,Fülszárny >> Vázlat,耳羽 輪郭 >>,날개 귀 >> 외곽선,Крыло-ухо >> Контур,Asa Orelha >> Contorno,Крильце колоса >> Контур,Ala dell'orecchio >> Contorno,เส้นร่างหูปีก >>,Kulak Kanadı >> Anahat,Öronvinge >> Kontur
HeadWingRight,Ear Wing <<,Ear Wing <<,翅膀耳朵 <<,翅膀耳朵 <<,Ohrflügel <<,Ala de oreja <<,Aile d'Oreille <<,Fülszárny <<,耳羽 <<,날개 귀 <<,Крыло-ухо <<,Asa Orelha <<,Вухо Крило <<,Ala dell'orecchio <<,หูปีก <<,Kulak Kanadı <<,Öronvinge <<
HeadWingRightOutline,Ear Wing << Outline,Ear Wing << Outline,翅膀耳朵 << 轮廓,翅膀耳朵 << 輪廓,Ohrflügel << Umriss,Ala de oreja << Contorno,Contour Aile d'Oreille <<,Fülszárny << Vázlat,耳羽 輪郭 <<,날개 귀 << 외곽선,Крыло-ухо << Контур,Asa Orelha << Contorno,Вухо Крило << Контур,Ala dell'orecchio << Contorno,เส้นร่างหูปีก <<,Kulak Kanadı << Anahat,Öronvinge << Kontur
Heart,Heart,Heart,爱心,愛心,Herz,Corazón,Cœur,Szív,ハート,하트,Сердце,Coração,серце,Cuore,หัวใจ,Kalp,Hjärta
HornLeft,Horn >>,Horn >>,角 >>,角 >>,Horn >>,Cuerno >>,Corne >>,Kürt >>,角 >>,뿔 >>,Рог >>,Chifre >> ,Ріг >>,Corno >>,เขา >>,Boynuz >>,Horn >>
HornLeftOutline,Horn >> Outline,Horn >> Outline,角 >> 轮廓,角 >> 輪廓,Horn >> Umriss,Cuerno >> Contorno,Contour Corne >>,Kürt >> Vázlat,角 輪郭 >>,뿔 >> 외곽선,Рог >> Контур,Chifre >> Contorno,Ріг >> Контур,Corno >> Contorno,เส้นร่างเขา >>,Boynuz >> Anahat,Horn >> Kontur
HornRight,Horn <<,Horn <<,角 <<,角 <<,Horn <<,Cuerno <<,Corne <<,Kürt <<,角 <<,뿔 <<,Рог <<,Chifre <<,Ріг <<,Corno <<,เขา <<,Boynuz <<,Horn <<
HornRightOutline,Horn << Outline,Horn << Outline,角 <<轮廓,角 << 輪廓,Horn << Umriss,Cuerno << Contorno,Contour Corne <<,Kürt << Vázlat,角 輪郭 <<,뿔 << 외곽선,Рог << Контур,Chifre << Contorno,Горн << Контур,Corno << Contorno,เส้นร่างเขา <<,Boynuz << Anahat,Horn << Outline
HornMiddle,Horn ><,Horn ><,角 ><,角 ><,Horn ><,Cuerno ><,Corne ><,Kürt ><,角 中央,뿔 ><,Рог ><,Chifre ><,Ріг ><,Corno ><,เขา ><,Boynuz ><,Horn ><
HornMiddleOutline,Horn >< Outline,Horn >< Outline,角 >< 轮廓,角 >< 輪廓,Horn >< Umriss,Cuerno >< Contorno,Contour Corne ><,Kürt >< Vázlat,角 中央 輪郭,뿔 >< 외곽선,Рог >< Контур,Chifre >< Contorno,Горн >< Контур,Corno >< Contorno,เส้นร่างเขา ><,Boynuz >< Anahat,Horn >< Kontur
JailGrill,Jail Grill,Jail Grill,监狱栅栏,監獄柵欄,Gefängnis,Barrotes de la cárcel,Grille de Prison,Jail Grill,牢屋格子,감옥 창살,Тюремный решетка,Grade da Prisão,Тюремний гриль,Griglia della prigione,ลูกกรงคุก,Hapishane Demiri,Jail Grill
Keyboard,Keyboard,Keyboard,键盘,鍵盤,Tastatur,Teclado,Clavier,Billentyűzet,キーボード,키보드,Клавиатура,Teclado,Клавіатура,Tastiera,คีย์บอร์ด,Klavye,Tangentbord
KitchenKnife,Kitchen Knife,Kitchen Knife,厨房刀,廚房刀,Küchenmesser,Cuchillo de cocina,Couteau de Cuisine,Konyhai kés,包丁,식칼,Кухонный нож,Faca de Cozinha,Кухонний ніж,Coltello da cucina,มีดทำครัว,Mutfak Bıçağı,Kökskniv
Laptop,Laptop,Laptop,电脑,電腦,Laptop,Computadora portátil,Ordinateur Portable,Laptop,ノートPC,노트북,Ноутбук,Computador Portátil,Ноутбук,Computer portatile,แล็ปท็อป,Dizüstü Bilgisayar,Laptop
LaptopLight,Laptop Light,Laptop Light,电脑 屏幕光,電腦 螢幕光,Laptop Licht,Luz de la computadora portátil,Lumière Ordinateur Portable,Laptop fény,ノートPCライト,노트북 불빛,Ноутбук Свечение,Luz do Computador Portátil,Світло ноутбука,Luce per laptop,แสงแล็ปท็อป,Dizüstü Bilgisayar Işığı,Ljus för bärbar dator
LegLeft,Leg >>,Leg >>,腿 >>,腿 >>,Bein >>,Pierna >>,Jambe >>,Láb >>,脚 >>,다리 >>,Нога >>,Perna >>,Нога >>,Gamba >>,ขา >>,Bacak >>,Ben >>
LegRight,Leg <<,Leg <<,腿 <<,腿 <<,Bein <<,Pierna <<,Jambe <<,Láb <<,脚 <<,다리 <<,Нога <<,Perna <<,Ніжка <<,Gamba <<,ขา <<,Bacak <<,Ben <<
LightstickHandle,Lightstick Handle,Lightstick Handle,荧光棒 把手,螢光棒 把手,Leuchtstabgriff,Mango del Lightstick,Bâton Lumineux Poignée,Lightstick fogantyú,ペンライト持ち手,응원봉 손잡이,Рукоять Лайтстик,Cabo Bastão de Luz,Ручка Lightstick,Maniglia del bastone luminoso,ด้ามจับของแท่งไฟ,Işık Çubuğu Tutacağı,Lightstick handtag
LightStickLeft,Light Stick >>,Light Stick >>,荧光棒 >>,螢光棒 >>,Leuchtstab >>,Lightstick >>,Bâton lumineux >>,Light Stick >>,ペンライト >>,응원봉 >>,Лайтстик >>,Bastão de Luz >>,Світлова паличка >>,Bastone luminoso >>,แท่งไฟ >>,Işık Çubuğu >>,Ljussticka >>
LightStickRight,Light Stick <<,Light Stick <<,荧光棒 <<,螢光棒 <<,Leuchtstab <<,Lightstick <<,Bâton lumineux <<,Light Stick <<,ペンライト <<,응원봉 <<,Лайтстик <<,Bastão de Luz <<,Світлова паличка <<,Bastone luminoso <<,แท่งไฟ <<,Işık Çubuğu <<,Ljussticka <<
Mecha,Mecha,Mecha,机械,機械,Mecha,Mecha,Mecha,Mecha,メカ,메카,Меха,Mecha,Меха,Mecca,ส่วนหุ่นยนต์,Mecha,Mecha
MechaLeft,Mecha >>,Mecha >>,机械 >>,機械 >>,Mecha >>,Mecha >>,Mecha >>,Mecha >>,メカ >>,메카 >>,Меха >>,Mecha >>,Меха >>,Mecca >>,ส่วนหุ่นยนต์ >>,Mecha >>,Meka >>
MechaLeftOutline,Mecha >> Outline,Mecha >> Outline,机械 >> 轮廓,機械 >> 輪廓,Mecha >> Umriss,Mecha >> Contorno,Contour Mecha >>,Mecha >> Vázlat,メカ 輪郭 >>,메카 >> 외곽선,Меха >> Контур,Mecha >> Contorno,Mecha >> Схема,Mecha >> Contorno,เส้นร่างส่วนหุ่นยนต์ >>,Mecha >> Anahat,Meka >> Översikt
MechaOutline,Mecha Outline,Mecha Outline,机械 轮廓,機械 輪廓,Mecha Umriss,Contorno del mecha,Contour du Mecha,Mecha körvonal,メカ 輪郭,메카 외곽선,Меха Контур,Mecha Contorno,Механічний контур,Contorno del mecha,เส้นร่างส่วนหุ่นยนต์,Mecha Anahat,Mecha Outline
MechaRight,Mecha <<,Mecha <<,机械 <<,機械 <<,Mecha <<,Mecha <<,Mecha <<,Mecha <<,メカ <<,메카 <<,Меха <<,Mecha <<,Меха <<,Mecca <<,ส่วนหุ่นยนต์ <<,Mecha <<,Meka <<
MechaRightOutline,Mecha << Outline,Mecha << Outline,机械 << 轮廓,機械 << 輪廓,Mecha << Umriss,Mecha << Contorno,Contour Mecha <<,Mecha << Vázlat,メカ 輪郭 <<,메카 << 외곽선,Меха << Контур,Mecha << Contorno,Mecha << Схема,Mecha << Contorno,เส้นร่างส่วนหุ่นยนต์ <<,Mecha << Anahat,Meka << Översikt
Mouse,Mouse,Mouse,鼠标,滑鼠,Maus,Ratón,Souris,Egér,マウス,마우스,Мышь,Rato,миша,Topo,เม้าส์,Fare,Mus
Mouth,Mouth/Tongue,Mouth/Tongue,嘴/舌头,嘴/舌頭,Mund/Zunge,Boca/Lengua,Bouche/Langue,Száj/nyelv,口／舌,입/혀,Рот/Язык,Boca/Lingua,Рот/Язик,Bocca/Lingua,ปาก/ลิ้น,Ağız/Dil,Mun/tunga
MouthShadow,Mouth/Tongue Shadow,Mouth/Tongue Shadow,嘴/舌头 阴影,嘴/舌頭 陰影,Mund/Zungenschatten,Sombra de boca/lengua,Ombre Bouche/Langue,Száj/nyelv árnyék,口／舌 影,입/혀 음영,Рот/Язык Тень,Boca/Lingua Sombra,Тінь рота/язика,Ombra della bocca/lingua,เงาปาก/ลิ้น,Ağız/Dil Gölgesi,Mun/Tunga Skugga
Notepad,Notepad,Notepad,记事本,記事本,Notizblock,Bloc de notas,Bloc-Notes,Jegyzettömb,メモ帳,수첩,Блокнот,Bloco de Notas,Блокнот,Blocco note,สมุดบันทึก,Not Defteri,Anteckningsblock
OutfitCollar,Outfit Collar,Outfit Collar,服装 领子,服裝 領子,Outfit Kragen,Cuello del Outfit,Tenue Col,Outfit gallér,襟,의상 옷깃,Воротник,Gola,Екіпірування Комір,Collare dell'abito,ปกเสื้อ,Kıyafet Yaka,Outfit krage
OutfitCollarOutline,Outfit Collar Outline,Outfit Collar Outline,服装 领子 轮廓,服裝 領子 輪廓,Outfit Kragen Umriss,Contorno del cuello del Outfit,Contour Tenue Col,Outfit gallér vázlat,襟 輪郭,의상 옷깃 외곽선,Воротник Контур,Contorno da Gola,Контур коміра одягу,Contorno del colletto dell'abito,เส้นร่าง,Kıyafet Yaka Anahat,Outfit krage Kontur
OutfitInner,Outfit Inner,Outfit Inner,服装 里侧,服裝 內側,Outfit innen,Outfit interior,Tenue Intérieure,Outfit belső,服 内側,의상,Плечевая одежда,Roupa Interior,Наряд Внутрішній,Abito interno,ชุดด้านใน,Kıyafet İçi,Outfit Inner
OutfitInnerOutline,Outfit Inner Outline,Outfit Inner Outline,服装 里侧 轮廓,服裝 內側 輪廓,Outfit innen Umriss,Contorno del Outfit interior,Contour Tenue Intérieure,Outfit belső körvonala,服 内側 輪郭,의상 외곽선,Плечевая одежда Контур,Contorno da Roupa Interior,Внутрішній контур спорядження,Contorno interno del vestito,เส้นร่าง,Kıyafet İçi Anahat,Outfit Inner Outline
OutfitNeckwearA,Outfit Neckwear A,Outfit Neckwear A,服装 颈部装饰 A,服裝 頸部裝飾 A,Outfit Halsschmuck A,Accesorios de cuello A, Cravate A,Outfit Neckwear A,ネックウェアA,목장식 A, Галстук А,Acessório de Pescoço A,Одяг Одяг А,Completo cravatta A,เครื่องประดับคอ A,Boyun Takıları A,Outfit Neckwear A
OutfitNeckwearAOutline,Outfit Neckwear A Outline,Outfit Neckwear A Outline,服装 颈部装饰 A 轮廓,服裝 頸部裝飾 A 輪廓,Outfit Halsschmuck A Umriss,Contorno del accesorio de cuello A,Contour Cravate A,Outfit Neckwear Egy körvonal,ネックウェアA 輪郭,목장식 A 외곽선,Галстук A Контур,Acessório de Pescoço A Contorno,Спорядження Neckwear контур,Outfit Cravatte A Outline,เส้นร่างเครื่องประดับคอ A,Boyun Takıları A Anahat,Outfit Neckwear A Outline
